type,id,Labels_001,Labels_002,properties_unique,properties_namespace,properties_description,properties_title,properties_uri,properties_xsd_type,properties_identifier,properties_ontology_level,properties_html_info,properties_admin,properties_sing,properties_pl,properties_version,properties_comment,properties_url,label,start_id,start_labels,end_id,end_labels_001,properties_level,end_labels_002
node,124,TBox,property,False,skm,Information how to locate the relevant aspects of the data.,schema,http://example.org/tbox/schema,xsd:anyURI,,,,,,,,,,,,,,,,
node,125,TBox,property,False,dcterms,A name given to the resource.,title,http://example.org/tbox/title,xsd:string,,,,,,,,,,,,,,,,
node,126,TBox,property,False,dcterms,"Description may include but is not limited to: an abstract, a table of contents, a graphical representation, or a free-text account of the resource.",description,http://example.org/tbox/description,xsd:string,,,,,,,,,,,,,,,,
node,127,TBox,property,True,dcterms,An unambiguous reference to the resource within a given context.,identifier,http://example.org/tbox/identifier,xsd:anyURI,,,,,,,,,,,,,,,,
node,129,TBox,property,False,skm,"A unique, namespace-qualified id of the original type if not in the current model.",origintype,http://example.org/tbox/origintype,xsd:anyURI,,,,,,,,,,,,,,,,
node,131,TBox,property,False,dcterms,The data container format.,format,http://example.org/tbox/format,xsd:anyURI,,,,,,,,,,,,,,,,
node,132,TBox,property,False,dcterms,Where to locate the Data provider (server or endpoint address).,coverage,http://example.org/tbox/coverage,xsd:anyURI,,,,,,,,,,,,,,,,
node,133,TBox,property,False,foaf,The family name of some person. ,familyname,http://example.org/tbox/familyname,xsd:string,,,,,,,,,,,,,,,,
node,134,TBox,property,False,foaf,The given name of some person. ,givenname,http://example.org/tbox/givenname,xsd:string,,,,,,,,,,,,,,,,
node,135,TBox,property,False,foaf,"A personal mailbox, ie. an Internet mailbox associated with exactly one owner, the first owner of this mailbox.",mbox,http://example.org/tbox/mbox,xsd:anyURI,,,,,,,,,,,,,,,,
node,136,TBox,property,False,prov,The time at which an activity started. See also prov:endedAtTime.,startedattime,http://example.org/tbox/startedattime,xsd:dateTime,,,,,,,,,,,,,,,,
node,137,TBox,property,False,prov,The time at which an activity ended. See also prov:startedAtTime.,endedattime,http://example.org/tbox/endedattime,xsd:dateTime,,,,,,,,,,,,,,,,
node,138,TBox,property,False,skm,An optional domain specific ID.,secondaryid,http://example.org/tbox/secondaryid,xsd:anyURI,,,,,,,,,,,,,,,,
node,139,TBox,property,False,skm,A query string or URL in case of Document.,querystring,http://example.org/tbox/querystring,xsd:string,,,,,,,,,,,,,,,,
node,140,TBox,property,False,dcterms,A topic of the resource.,subject,http://example.org/tbox/subject,xsd:string,,,,,,,,,,,,,,,,
relationship,0,,,,,,,,,,,,,,,,,,type_of,2,Abox,110,TBox,,
relationship,1,,,,,,,,,,,,,,,,,,type_of,3,Abox,89,TBox,,
relationship,2,,,,,,,,,,,,,,,,,,type_of,4,Abox,88,TBox,,
relationship,3,,,,,,,,,,,,,,,,,,hasPart,3,Abox,4,Abox,,
relationship,4,,,,,,,,,,,,,,,,,,relation,4,Abox,2,Abox,,
relationship,5,,,,,,,,,,,,,,,,,,type_of,5,Abox,108,TBox,,
relationship,6,,,,,,,,,,,,,,,,,,hasPart,2,Abox,5,Abox,,
relationship,7,,,,,,,,,,,,,,,,,,type_of,6,Abox,82,TBox,,
relationship,8,,,,,,,,,,,,,,,,,,type_of,7,Abox,82,TBox,,
relationship,9,,,,,,,,,,,,,,,,,,type_of,8,Abox,73,TBox,,
