:START_ID,:TYPE,label:string,start__labels:string,:END_ID,end__labels__001:string,properties__level:string,properties__namespace:string,properties__description:string,properties__title,properties__uri,end__labels__002
113,relationship,subclass_of,TBox,93,TBox,,,,,,
114,relationship,subclass_of,TBox,75,TBox,,,,,,
24,relationship,object_property,TBox,24,TBox,upper,dcterms,"A related KBMSThing  that is referenced, cited, or otherwise pointed to by the described SKMThing",references,http://example.org/tbox/references,
24,relationship,object_property,TBox,24,TBox,upper,dcterms,A relation between two KBMSThings (bi-directional version of references),relation,http://example.org/tbox/relation,
24,relationship,object_property,TBox,24,TBox,upper,dcterms,A related KBMSThing that is included either physically or logically in the described SKMThing.,haspart,http://example.org/tbox/haspart,
24,relationship,object_property,TBox,24,TBox,upper,dcterms,"A related resource that is supplanted, displaced, or superseded by the described resource.",replaces,http://example.org/tbox/replaces,
70,relationship,object_property,TBox,71,TBox,upper,dcterms,"The Document includes  a statement about various property rights associated with the SKMThing, including intellectual property rights.",rights,http://example.org/tbox/rights,
70,relationship,object_property,TBox,25,TBox,upper,dcterms,A person or organization owning or managing rights over the SKMThing.,rightsholder,http://example.org/tbox/rightsholder,
24,relationship,object_property,TBox,25,TBox,upper,dcterms,A user that created the instance in the SKM system.,creator,http://example.org/tbox/creator,
24,relationship,object_property,TBox,71,TBox,upper,dcterms,The related Document describes subunits of the resource.,tableofcontents,http://example.org/tbox/tableofcontents,
26,relationship,object_property,TBox,76,TBox,upper,foaf,This Person is a member of this Project.,member,http://example.org/tbox/member,
74,relationship,object_property,TBox,76,TBox,upper,foaf,This Person is a member of this Organization.,member,http://example.org/tbox/member,
70,relationship,object_property,TBox,73,TBox,upper,dcterms,"A related resource that is required by the described data to support its function, delivery, or coherence.",requires,http://example.org/tbox/requires,
27,relationship,object_property,TBox,26,TBox,upper,prov,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.,wasgeneratedby,http://example.org/tbox/wasgeneratedby,
27,relationship,object_property,TBox,27,TBox,upper,prov,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.",wasderivedfrom,http://example.org/tbox/wasderivedfrom,
27,relationship,object_property,TBox,25,TBox,upper,prov,Attribution is the ascribing of an entity to an agent.,wasattributedto,http://example.org/tbox/wasattributedto,
26,relationship,object_property,TBox,27,TBox,upper,prov,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity.",used,http://example.org/tbox/used,
26,relationship,object_property,TBox,26,TBox,upper,prov,"Communication is the exchange of an entity by two activities, one activity using the entity generated by the other.",wasinformedby,http://example.org/tbox/wasinformedby,
26,relationship,object_property,TBox,25,TBox,upper,prov,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.",wasassociatedwith,http://example.org/tbox/wasassociatedwith,
25,relationship,object_property,TBox,25,TBox,upper,prov,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work. For example, a student acted on behalf of his supervisor, who acted on behalf of the department chair, who acted on behalf of the university; all those agents are responsible in some way for the activity that took place but we do not say explicitly who bears responsibility and to what degree.",actedonbehalfof,http://example.org/tbox/actedonbehalfof,
24,relationship,required_property,TBox,126,TBox,,,,,,property
24,relationship,required_property,TBox,127,TBox,,,,,,property
24,relationship,required_property,TBox,125,TBox,,,,,,property
77,relationship,required_property,TBox,135,TBox,,,,,,property
24,relationship,optional_property,TBox,129,TBox,,,,,,property
24,relationship,optional_property,TBox,138,TBox,,,,,,property
24,relationship,optional_property,TBox,123,TBox,,,,,,property
26,relationship,optional_property,TBox,137,TBox,,,,,,property
26,relationship,optional_property,TBox,136,TBox,,,,,,property
70,relationship,optional_property,TBox,124,TBox,,,,,,property
70,relationship,optional_property,TBox,140,TBox,,,,,,property
70,relationship,optional_property,TBox,123,TBox,,,,,,property
73,relationship,optional_property,TBox,132,TBox,,,,,,property
73,relationship,optional_property,TBox,131,TBox,,,,,,property
73,relationship,optional_property,TBox,139,TBox,,,,,,property
76,relationship,optional_property,TBox,133,TBox,,,,,,property
76,relationship,optional_property,TBox,134,TBox,,,,,,property
